"term","strength","rank"
"educational thought",9,1
"eighteenth century",9,1
"mini mental state examination",11,3
"teacher change",11,3
"zone of proximal development",11,3
"escuelas primarias",12,6
"population size",13,7
"spelling strategies",14,8
"civic competence",15,9
"dual treatment",15,9
"technology-enhanced feedback",15,9
"nobel prize",15,9
"understanding elementary",15,9
"alternative medicine",16,14
"price of education",16,14
"selective attention",16,14
"conservative policies",17,17
"international migration",17,17
"academic library",17,17
"acquired immunodeficiency syndrome",18,20
"beginning readers",18,20
"confirmatory factorial analysis",18,20
"mental calculation",18,20
"parental care",18,20
"physical abuse",18,20
"trend analysis",18,20
"visual feedback",18,20
"accountability policy",18,20
"preliminary investigation",18,20
"critical theory",19,30
"helicobacter pylori",19,30
"privatization of education",19,30
"performance measurement",19,30
"long-term care",20,34
"mathematics curricula",20,34
"middle school education",20,34
"parental attitude",20,34
"response time",20,34
"spinal column",20,34
"team teaching",20,34
"changing patterns",20,34
"clinical characterization",20,34
"engaging young",20,34
"history classroom",20,34
"northeast brazil",20,34
"reference center",20,34
"school performance evaluation",20,34
"teachersâ€™ written",20,34
"biological knowledge",21,49
"educational exclusion",21,49
"endogenous growth",21,49
"medical staff",21,49
"patient safety",21,49
"research productivity",21,49
"scoring system",21,49
"skilled labor",21,49
"technology adoption",21,49
"basic education groups",21,49
"capabilities approach",21,49
"local heritage",21,49
"sciences textbooks",21,49
"child rearing",22,62
"financial markets",22,62
"intergenerational educational mobility",22,62
"intergenerational mobility",22,62
"motor coordination",22,62
"rasch model",22,62
"school transition",22,62
"spatial justice",22,62
"theory of planned behaviour",22,62
"american elementary",22,62
"discursive construction",22,62
"emergency service",22,62
"european portuguese",22,62
"local curricula",22,62
"vocal performance",22,62
"classroom discourse",23,77
"demographic dividend",23,77
"disease duration",23,77
"manual labor",23,77
"middle aged",23,77
"thinking styles",23,77
"addressing sexual",23,77
"brazilian legal",23,77
"early elementary science",23,77
"education chemistry",23,77
"medical studentsâ€™",23,77
"mother language",23,77
"patients referred",23,77
"psychological flexibility",23,77
"school accountability",23,77
"school recess",23,77
"southern china",23,77
"alzheimer's disease",24,94
"critical care",24,94
"cultural identity",24,94
"disease transmission",24,94
"emergency care",24,94
"eye tracking",24,94
"gender identity",24,94
"general teaching methods",24,94
"health hazard",24,94
"learning disability",24,94
"milk production",24,94
"problem posing",24,94
"qualitative instrument",24,94
"school social work",24,94
"smoking habit",24,94
"social promotion",24,94
"spatial heterogeneity",24,94
"dynamic geometry",24,94
"economic returns",24,94
"exploring elementary",24,94
"initial literacy",24,94
"lublin region",24,94
"metacognitive scaffolding",24,94
"postmenopausal women",24,94
"school reality",24,94
"studentsâ€™ conceptions",24,94
"child survival",25,120
"convergent thinking",25,120
"digital gap",25,120
"educational leadership",25,120
"emotional regulation strategies",25,120
"end-of-life care",25,120
"epidemiological data",25,120
"intelligent systems",25,120
"interactional ethnography",25,120
"national confederation of industry",25,120
"new literacy studies",25,120
